rank,word,translation,gender
445,hinter,behind,
446,klar,clear,
447,Schwanz,tail,der
448,produzieren,produce,
449,Tatsache,fact,die
450,Raum,space,der
451,gehört,heard,
452,beste,best,
453,Stunde,hour,die
454,besser,better,
455,wahr,true,
456,während,during,
457,hundert,hundred,
458,fünf,five,
459,merken,remember,
460,Schritt,step,der
461,früh,early,
462,halten,hold,
463,Westen,west,der
464,Boden,ground,der
465,Interesse,interest,das
466,erreichen,reach,
467,schnell,fast,
468,Verbum,verb,das
469,singen,sing,
470,hören,listen,
471,sechs,six,
472,Tabelle,table,die
473,Reise,travel,die
474,weniger,less,
475,Morgen,morning,der
476,zehn,ten,
477,einfach,simple,
478,mehrere,several,
479,Vokal,vowel,der
480,auf,toward,
481,Krieg,war,der
482,legen,lay,
483,gegen,against,
484,Muster,pattern,das
485,schleppend,slow,
486,Zentrum,center,das
487,Liebe,love,die
488,Person,person,die
489,Geld,money,das
490,dienen,serve,
491,erscheinen,appear,
492,Straße,road,die
493,Karte,map,die
494,regen,rain,
495,Regel,rule,die
496,regieren,govern,
497,ziehen,pull,
498,Kälte,cold,die
499,Hinweis,notice,der
500,Stimme,voice,die
501,Energie,energy,die
502,Jagd,hunt,die
503,wahrscheinlich,probable,
504,Bett,bed,das
505,Bruder,brother,der
506,Ei,egg,das
507,Fahrt,ride,die
508,Zelle,cell,die
509,glauben,believe,
510,vielleicht,perhaps,
511,pflücken,pick,
512,plötzlich,sudden,
513,zählen,count,
514,Platz,square,der
515,Grund,reason,der
516,Dauer,length,die
517,vertreten,represent,
518,Kunst,art,die
519,Thema,subject,das
520,Region,region,die
521,Größe,size,die
522,variieren,vary,
523,regeln,settle,
524,sprechen,speak,
525,Gewicht,weight,das
526,allgemein,general,
527,Eis,ice,das
528,Materie,matter,die
529,Kreis,circle,der
530,Paar,pair,das
531,umfassen,include,
532,Kluft,divide,die
533,Silbe,syllable,die
534,Filz,felt,der
535,groß,grand,
536,Kugel,ball,die
537,noch,yet,
538,Welle,wave,die
539,fallen,drop,
540,Herz,heart,das
541,Uhr,am,die
542,vorhanden,present,
543,schwer,heavy,
544,Tanz,dance,der
545,Motor,engine,der
546,Position,position,die
547,Arm,arm,der
548,breit,wide,
549,Segel,sail,das
550,Material,material,das
551,Fraktion,fraction,die
552,Wald,forest,der
553,sitzen,sit,
554,Rennen,race,das
555,Fenster,window,das
556,Speicher,store,der
557,Sommer,summer,der
558,Zug,train,der
559,Schlaf,sleep,der
560,beweisen,prove,
561,einsam,lone,
562,Bein,leg,das
563,Übung,exercise,die
564,Wand,wall,die
565,Fang,catch,der
566,Berg,mount,der
567,wünschen,wish,
568,Himmel,sky,der
569,Board,board,der
570,Freude,joy,die
571,Winter,winter,der
572,sa,sat,
573,geschrieben,written,
574,wilden,wild,
575,Instrument,instrument,das
576,gehalten,kept,
577,Glas,glass,das
578,Gras,grass,das
579,Kuh,cow,die
580,Arbeit,job,die
581,Rand,edge,der
582,Zeichen,sign,das
583,Besuch,visit,der
584,Vergangenheit,past,der
585,weich,soft,
586,Spaß,fun,der
587,hell,bright,
588,Gas,gas,das
589,Wetter,weather,die
590,Monat,month,der
591,Million,million,die
592,tragen,bear,
593,Finish,finish,das
594,glücklich,happy,
595,hoffen,hope,
596,blume,flower,
597,kleiden,clothe,
598,seltsam,strange,
599,Vorbei,gone,die
600,Handel,trade,der
601,Melodie,melody,die
602,Reise,trip,die
603,Büro,office,das
604,empfangen,receive,
605,Reihe,row,die
606,Mund,mouth,der
607,genau,exact,
608,Zeichen,symbol,das
609,sterben,die,
610,am wenigsten,least,
611,Ärger,trouble,der
612,Schrei,shout,der
613,außer,except,
614,schrieb,wrote,
615,Samen,seed,der
616,Ton,tone,der
617,beitreten,join,
618,vorschlagen,suggest,
619,sauber,clean,
620,Pause,break,die
621,Dame,lady,die
622,Hof,yard,der
623,steigen,rise,
624,schlecht,bad,
625,Schlag,blow,der
626,Öl,oil,das
627,Blut,blood,das
628,berühren,touch,
629,wuchs,grew,
630,Cent,cent,der
631,mischen,mix,
632,Mannschaft,team,die
633,Draht,wire,der
634,Kosten,cost,die
635,verloren,lost,
636,braun,brown,
637,tragen,wear,
638,Garten,garden,der
639,gleich,equal,
640,gesendet,sent,
641,wählen,choose,
642,fiel,fell,
643,passen,fit,
644,fließen,flow,
645,Messe,fair,die
646,Bank,bank,die
647,sammeln,collect,
648,sparen,save,
649,Kontrolle,control,die
650,dezimal,decimal,
651,Ohr,ear,das
652,sonst,else,
653,ganz,quite,
654,pleite,broke,
655,Fall,case,der
656,Mitte,middle,die
657,töten,kill,
658,Sohn,son,der
659,See,lake,der
660,Moment,moment,das
661,Maßstab,scale,der
662,laut,loud,
663,Frühling,spring,der
664,beobachten,observe,
665,Kind,child,das
666,gerade,straight,
667,Konsonant,consonant,der
668,Nation,nation,die
669,Wörterbuch,dictionary,das
670,milch,milk,
671,Geschwindigkeit,speed,die
672,Verfahren,method,das
673,Orgel,organ,die
674,zahlen,pay,
675,Alter,age,das
676,Abschnitt,section,der
677,Kleid,dress,das
678,Wolke,cloud,die
679,Überraschung,surprise,die
680,ruhig,quiet,
681,Stein,stone,der
682,winzig,tiny,
683,Aufstieg,climb,der
684,kühlen,cool,
685,Entwurf,design,der
686,arm,poor,
687,Menge,lot,die
688,Versuch,experiment,der
689,Boden,bottom,der
690,Schlüssel,key,das
691,Eisen,iron,das
692,Einzel,single,das
693,haften,stick,
694,Wohnung,flat,die
695,zwanzig,twenty,
696,Haut,skin,die
697,lächeln,smile,
698,Falte,crease,die
699,Loch,hole,das
700,springen,jump,
701,Kind,baby,das
702,acht,eight,
703,Dorf,village,das
704,treffen,meet,
705,Wurzel,root,die
706,kaufen,buy,
707,erhöhen,raise,
708,lösen,solve,
709,Metall,metal,das
710,ob,whether,
711,drücken,push,
712,sieben,seven,
713,Absatz,paragraph,der
714,dritte,third,
715,wird,shall,
716,Hand,held,die
717,Haar,hair,das
718,beschreiben,describe,
719,Koch,cook,der
720,Boden,floor,der
721,entweder,either,
722,Ergebnis,result,das
723,brennen,burn,
724,Hügel,hill,der
725,sicher,safe,
726,Katze,cat,die
727,Jahrhundert,century,das
728,betrachten,consider,
729,Typ,type,der
730,Gesetz,law,das
731,Bit,bit,das
732,Küste,coast,die
733,Kopie,copy,die
734,Ausdruck,phrase,der
735,still,silent,
736,hoch,tall,
737,Sand,sand,der
738,Boden,soil,der
739,Rolle,roll,die
740,Temperatur,temperature,die
741,Finger,finger,der
742,Industrie,industry,die
743,Wert,value,der
744,Kampf,fight,der
745,Lüge,lie,die
746,schlagen,beat,
747,begeistern,excite,
748,natürlich,natural,
749,Blick,view,der
750,Sinn,sense,der
751,Hauptstadt,capital,die
752,wird nicht,won’t,
753,Stuhl,chair,der
754,Achtung,danger,die
755,Obst,fruit,das
756,reich,rich,
757,dick,thick,
758,Soldat,soldier,der
759,Prozess,process,der
760,betreiben,operate,
761,Praxis,practice,die
762,trennen,separate,
763,schwierig,difficult,
764,Arzt,doctor,der
765,Bitte,please,die
766,schützen,protect,
767,Mittag,noon,der
768,Ernte,crop,die
769,modernen,modern,
770,Element,element,das
771,treffen,hit,
772,Schüler,student,der
773,Ecke,corner,die
774,Partei,party,die
775,Versorgung,supply,die
776,deren,whose,
777,lokalisieren,locate,
778,Ring,ring,der
779,Charakter,character,der
780,insekt,insect,
781,gefangen,caught,
782,Zeit,period,die
783,zeigen,indicate,
784,Funk,radio,der
785,Speiche,spoke,die
786,Atom,atom,das
787,Mensch,human,der
788,Geschichte,history,die
789,Wirkung,effect,die
790,elektrisch,electric,
791,erwarten,expect,
792,Knochen,bone,der
793,Schiene,rail,die
794,vorstellen,imagine,
795,bieten,provide,
796,zustimmen,agree,
797,so,thus,
798,sanft,gentle,
799,Frau,woman,die
800,Kapitän,captain,der
801,erraten,guess,
802,erforderlich,necessary,
803,scharf,sharp,
804,Flügel,wing,der
805,schaffen,create,
806,Nachbar,neighbor,der
807,waschen,wash,
808,Fledermaus,bat,die
809,eher,rather,
810,Menge,crowd,die
811,mais,corn,
812,vergleichen,compare,
813,Gedicht,poem,das
814,Schnur,string,die
815,Glocke,bell,die
816,abhängen,depend,
817,Fleisch,meat,das
818,einreiben,rub,
819,Rohr,tube,das
820,berühmt,famous,
921,Dollar,dollar,der
822,Strom,stream,der
823,Angst,fear,die
284,Blick,sight,der
825,dünn,thin,
826,Dreieck,triangle,das
827,Erde,planet,die
828,Eile,hurry,die
829,Chef,chief,der
830,Kolonie,colony,die
831,Uhr,clock,die
832,Mine,mine,die
833,Krawatte,tie,die
834,eingeben,enter,
835,Dur,major,das
836,frisch,fresh,
837,Suche,search,die
838,senden,send,
839,gelb,yellow,
840,Pistole,gun,die
841,erlauben,allow,
842,Druck,print,der
843,tot,dead,
844,Stelle,spot,die
845,Wüste,desert,die
846,Anzug,suit,der
847,Strom,current,der
848,Aufzug,lift,der
840,stiegen,rose,
850,ankommen,arrive,
851,Stamm,master,der
852,Spur,track,die
853,Elternteil,parent,der
854,Ufer,shore,das
855,Teilung,division,die
856,Blatt,sheet,das
857,Substanz,substance,die
858,begünstigen,favor,
859,verbinden,connect,
860,nach,post,
861,verbringen,spend,
862,Akkord,chord,der
863,Fett,fat,das
864,froh,glad,
865,Original,original,das
866,Aktie,share,die
867,Station,station,die
868,Papa,dad,der
869,Brot,bread,das
870,aufladen,charge,
871,richtig,proper,
872,Leiste,bar,die
873,Angebot,offer,das
874,Segment,segment,das
875,Sklave,slave,der
876,ente,duck,
877,Augenblick,instant,der
878,Markt,market,der
879,Grad,degree,der
880,besiedeln,populate,
881,küken,chick,
882,liebe,dear,
883,Feind,enemy,der
884,antworten,reply,
885,Getränk,drink,das
886,auftreten,occur,
887,Unterstützung,support,die
888,Rede,speech,die
889,Natur,nature,der
890,Angebot,range,das
891,Dampf,steam,der
892,Bewegung,motion,die
893,Weg,path,der
894,Flüssigkeit,liquid,die
895,protokollieren,log,
896,gemeint,meant,
897,Quotient,quotient,der
898,Gebiss,teeth,das
899,Schale,shell,die
900,Hals,neck,der
901,Sauerstoff,oxygen,der
902,Zucker,sugar,der
903,Tod,death,der
904,ziemlich,pretty,
905,Geschicklichkeit,skill,die
906,Frauen,women,die
907,Saison,season,der
908,Lösung,solution,die
909,Magnet,magnet,der
910,Silber,silver,das
911,danken,thank,
912,Zweig,branch,der
913,Spiel,match,das
914,Suffix,suffix,das
915,insbesondere,especially,
916,Feige,fig,die
917,ängstlich,afraid,
918,riesig,huge,
919,Schwester,sister,die
920,Stahl,steel,der
921,diskutieren,discuss,
922,vorwärts,forward,
923,ähnlich,similar,
924,führen,guide,
925,Erfahrung,experience,die
926,Partitur,score,die
927,apfel,apple,
928,gekauft,bought,
929,geführt,led,
930,Tonhöhe,pitch,die
931,Mantel,coat,der
932,Masse,mass,die
933,Karte,card,die
934,Band,band,das
935,Seil,rope,das
936,Rutsch,slip,der
937,gewinnen,win,
938,träumen,dream,
939,Abend,evening,der
940,Zustand,condition,der
941,Futtermittel,feed,das
942,Werkzeug,tool,das
943,gesamt,total,
944,Basis,basic,die
945,Geruch,smell,der
946,Tal,valley,das
947,noch,nor,
948,doppelt,double,
949,Sitz,seat,der
950,fortsetzen,continue,
951,Block,block,der
952,Tabelle,chart,die
953,Hut,hat,der
954,verkaufen,sell,
955,Erfolg,success,der
956,Firma,company,die
957,subtrahieren,subtract,
958,Veranstaltung,event,die
959,besondere,particular,
960,viel,deal,
961,schwimmen,swim,
962,Begriff,term,der
963,Gegenteil,opposite,das
964,Frau,wife,die
965,Schuh,shoe,der
966,Schulter,shoulder,die
967,Verbreitung,spread,die
968,arrangieren,arrange,
969,Lager,camp,das
970,erfinden,invent,
971,Baumwolle,cotton,die
972,geboren,born,
973,bestimmen,determine,
974,Quart,quart,die
975,neun,nine,
976,Lastwagen,truck,der
977,Lärm,noise,der
978,Ebene,level,die
979,Chance,chance,die
980,sammeln,gather,
981,Geschäft,shop,das
982,strecken,stretch,
983,werfen,throw,
984,Glanz,shine,der
985,Immobilien,property,die
986,Spalte,column,die
987,Molekül,molecule,das
988,wählen,select,
989,falsch,wrong,
990,grau,gray,
991,Wiederholung,repeat,die
992,erfordern,require,
993,breit,broad,
994,vorbereiten,prepare,
995,Salz,salt,das
996,Nase,nose,die
997,mehreren,plural,
998,Zorn,anger,der
999,Anspruch,claim,der
1000,Kontinent,continent,der
